group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,Par,1000000,,,115209375.0,ns,240
Means,Par,1000000,,,115392250.0,ns,243
Means,Par,1000000,,,117793542.0,ns,246
Means,Par,1000000,,,120649667.0,ns,249
Means,Par,1000000,,,119522834.0,ns,252
Means,Par,1000000,,,121006750.0,ns,255
Means,Par,1000000,,,123648500.0,ns,258
Means,Par,1000000,,,126460084.0,ns,261
Means,Par,1000000,,,127824667.0,ns,264
Means,Par,1000000,,,128839125.0,ns,267
Means,Par,1000000,,,127535000.0,ns,270
Means,Par,1000000,,,130373750.0,ns,273
Means,Par,1000000,,,131263000.0,ns,276
Means,Par,1000000,,,134005792.0,ns,279
Means,Par,1000000,,,136144459.0,ns,282
Means,Par,1000000,,,136972708.0,ns,285
Means,Par,1000000,,,137330583.0,ns,288
Means,Par,1000000,,,140252291.0,ns,291
Means,Par,1000000,,,139089625.0,ns,294
Means,Par,1000000,,,143085125.0,ns,297
Means,Par,1000000,,,143726084.0,ns,300
Means,Par,10000000,,,50566458.0,ns,17
Means,Par,10000000,,,49329916.0,ns,17
Means,Par,10000000,,,48615083.0,ns,17
Means,Par,10000000,,,50133375.0,ns,17
Means,Par,10000000,,,49161125.0,ns,17
Means,Par,10000000,,,49959458.0,ns,17
Means,Par,10000000,,,49731125.0,ns,17
Means,Par,10000000,,,48905750.0,ns,17
Means,Par,10000000,,,49949542.0,ns,17
Means,Par,10000000,,,49474875.0,ns,17
Means,Par,10000000,,,49031417.0,ns,17
Means,Par,10000000,,,50462583.0,ns,17
Means,Par,10000000,,,49541416.0,ns,17
Means,Par,10000000,,,49209042.0,ns,17
Means,Par,10000000,,,49474125.0,ns,17
Means,Par,10000000,,,49392250.0,ns,17
Means,Par,10000000,,,49491625.0,ns,17
Means,Par,10000000,,,49552625.0,ns,17
Means,Par,10000000,,,49596875.0,ns,17
Means,Par,10000000,,,49899167.0,ns,17
Means,Par,10000000,,,48804458.0,ns,17
Means,Par,10000000,,,50363875.0,ns,17
Means,Par,10000000,,,49277791.0,ns,17
Means,Par,10000000,,,49890333.0,ns,17
Means,Par,10000000,,,52851375.0,ns,17
Means,Par,10000000,,,49942417.0,ns,17
Means,Par,10000000,,,49858209.0,ns,17
Means,Par,10000000,,,49528917.0,ns,17
Means,Par,10000000,,,49027791.0,ns,17
Means,Par,10000000,,,48950291.0,ns,17
Means,Par,10000000,,,49557167.0,ns,17
Means,Par,10000000,,,49041500.0,ns,17
Means,Par,10000000,,,49821666.0,ns,17
Means,Par,10000000,,,49564625.0,ns,17
Means,Par,10000000,,,49497250.0,ns,17
Means,Par,10000000,,,49663625.0,ns,17
Means,Par,10000000,,,49776541.0,ns,17
Means,Par,10000000,,,49026750.0,ns,17
Means,Par,10000000,,,49305000.0,ns,17
Means,Par,10000000,,,49722834.0,ns,17
Means,Par,10000000,,,49858833.0,ns,17
Means,Par,10000000,,,50053833.0,ns,17
Means,Par,10000000,,,49634667.0,ns,17
Means,Par,10000000,,,49363167.0,ns,17
Means,Par,10000000,,,49480000.0,ns,17
Means,Par,10000000,,,49315291.0,ns,17
Means,Par,10000000,,,49685417.0,ns,17
Means,Par,10000000,,,49652834.0,ns,17
Means,Par,10000000,,,49294792.0,ns,17
Means,Par,10000000,,,49263709.0,ns,17
Means,Par,10000000,,,49610750.0,ns,17
Means,Par,10000000,,,50233958.0,ns,17
Means,Par,10000000,,,49122500.0,ns,17
Means,Par,10000000,,,49427584.0,ns,17
Means,Par,10000000,,,49790292.0,ns,17
Means,Par,10000000,,,49624167.0,ns,17
Means,Par,10000000,,,49507875.0,ns,17
Means,Par,10000000,,,49507916.0,ns,17
Means,Par,10000000,,,48820375.0,ns,17
Means,Par,10000000,,,49667375.0,ns,17
Means,Par,10000000,,,49377208.0,ns,17
Means,Par,10000000,,,49620000.0,ns,17
Means,Par,10000000,,,48525333.0,ns,17
Means,Par,10000000,,,49296750.0,ns,17
Means,Par,10000000,,,49572250.0,ns,17
Means,Par,10000000,,,49038375.0,ns,17
Means,Par,10000000,,,49090167.0,ns,17
Means,Par,10000000,,,49899667.0,ns,17
Means,Par,10000000,,,49889917.0,ns,17
Means,Par,10000000,,,49342333.0,ns,17
Means,Par,10000000,,,49598709.0,ns,17
Means,Par,10000000,,,49593875.0,ns,17
Means,Par,10000000,,,49293375.0,ns,17
Means,Par,10000000,,,49350875.0,ns,17
Means,Par,10000000,,,49080834.0,ns,17
Means,Par,10000000,,,48943458.0,ns,17
Means,Par,10000000,,,49325459.0,ns,17
Means,Par,10000000,,,49966750.0,ns,17
Means,Par,10000000,,,49742709.0,ns,17
Means,Par,10000000,,,49780167.0,ns,17
Means,Par,10000000,,,49670208.0,ns,17
Means,Par,10000000,,,49949500.0,ns,17
Means,Par,10000000,,,49422458.0,ns,17
Means,Par,10000000,,,49267833.0,ns,17
Means,Par,10000000,,,50127084.0,ns,17
Means,Par,10000000,,,49714958.0,ns,17
Means,Par,10000000,,,49054042.0,ns,17
Means,Par,10000000,,,49229833.0,ns,17
Means,Par,10000000,,,49524250.0,ns,17
Means,Par,10000000,,,49785708.0,ns,17
Means,Par,10000000,,,49599750.0,ns,17
Means,Par,10000000,,,49055167.0,ns,17
Means,Par,10000000,,,49825542.0,ns,17
Means,Par,10000000,,,49123417.0,ns,17
Means,Par,10000000,,,49654542.0,ns,17
Means,Par,10000000,,,49659625.0,ns,17
Means,Par,10000000,,,49712542.0,ns,17
Means,Par,10000000,,,49392625.0,ns,17
Means,Par,10000000,,,48950583.0,ns,17
Means,Par,10000000,,,49518833.0,ns,17
Means,Par,100000000,,,55348333.0,ns,2
Means,Par,100000000,,,54288292.0,ns,2
Means,Par,100000000,,,54846583.0,ns,2
Means,Par,100000000,,,54491667.0,ns,2
